,diaPostagem,hora,codigo,nomeAds,precoAds,cidade,bairro,cep,urlAds
44,Ontem,22:31,1012717991,relógio masculino á prova d água ,237.0,Rio de Janeiro, Rio Comprido - DDD 21,20261232,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/relogio-masculino-a-prova-d-agua-1012717991
45,Ontem,22:31,1003998061,Carteira de couro legítimo da Gucci ,600.0,Araruama, Centro (Iguabinha) - DDD 22,28971206,https://rj.olx.com.br/norte-do-estado-do-rio/bijouteria-relogios-e-acessorios/carteira-de-couro-legitimo-da-gucci-1003998061
46,Ontem,22:31,1010821422,ROLEX ,220.0,Rio de Janeiro, Guaratiba - DDD 21,23028630,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/rolex-1010821422
47,Ontem,22:31,1014617847,Máquina de costura industrial ,250.0,São Gonçalo, Porto do Rosa - DDD 21,24470280,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/maquina-de-costura-industrial-1014617847
48,Ontem,22:31,1009333935,Porroes e assentamento de oxoci e yemanja ,100.0,Rio de Janeiro, Campo Grande - DDD 21,23093510,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/porroes-e-assentamento-de-oxoci-e-yemanja-1009333935
49,Ontem,22:31,1009854659,"Óculos feminino luxo, lente polarizada",129.0,Rio de Janeiro, Vila Valqueire - DDD 21,21330300,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/oculos-feminino-luxo-lente-polarizada-1009854659
50,Ontem,22:31,1011842487,RELÓGIO DIGITAL RETRO DOURADO UNISSES COM ALARME EM PROMOÇÃO,60.0,Rio de Janeiro, Parada de Lucas - DDD 21,21010716,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/relogio-digital-retro-dourado-unisses-com-alarme-em-promocao-1011842487
51,Ontem,22:31,993853044,Relógio hello Kitty,30.0,São Gonçalo, Gradim - DDD 21,24430760,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/relogio-hello-kitty-993853044
52,Ontem,22:31,993757396,Pingente tartaruga prata 925,119.0,Rio de Janeiro, Campo Grande - DDD 21,23092080,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/pingente-tartaruga-prata-925-993757396
53,Ontem,22:31,1009179186,Maquina de tatuar lauro paolini Paul Rogers,160.0,Araruama, Boa Perna - DDD 22,28979866,https://rj.olx.com.br/norte-do-estado-do-rio/bijouteria-relogios-e-acessorios/maquina-de-tatuar-lauro-paolini-paul-rogers-1009179186
54,Ontem,22:31,1014690357,Moeda 50 centavos 1994 (rara),950.0,Rio de Janeiro, Padre Miguel - DDD 21,21775430,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/moeda-50-centavos-1994-rara-1014690357
55,Ontem,22:31,1011652026,Relógio TW Steel - Ceo Canteen  Modelo CE1017,550.0,Rio de Janeiro, Barra da Tijuca - DDD 21,22631005,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/relogio-tw-steel-ceo-canteen-modelo-ce1017-1011652026
56,Hoje,00:39,1015504142,Queima de estoque Relógio Smartwatch Ac cartão ENTREGAMOS,69.0,Rio de Janeiro, Recreio dos Bandeirantes - DDD 21,22795335,https://rj.olx.com.br/rio-de-janeiro-e-regiao/beleza-e-saude/queima-de-estoque-relogio-smartwatch-ac-cartao-entregamos-1015504142
57,Hoje,00:38,1015504001,PAR DE ALIANÇA MOEDA ANTIGA,150.0,Santa Cruz, Centro - DDD 22,28480970,https://rj.olx.com.br/norte-do-estado-do-rio/bijouteria-relogios-e-acessorios/par-de-alianca-moeda-antiga-1015504001
58,,,,,,,,,
59,Hoje,00:37,1015503957,Orient Automatico,300.0,Rio de Janeiro, Ramos - DDD 21,21060230,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/orient-automatico-1015503957
60,Hoje,00:22,1015502958,Oculos chilli beans funk-se usado,60.0,Rio de Janeiro, Madureira - DDD 21,21341331,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/oculos-chilli-beans-funk-se-usado-1015502958
61,Hoje,00:21,1015502830,Maravilhoso Anel Chuveiro Banhado a Ouro !,80.0,Rio de Janeiro, Flamengo - DDD 21,22250020,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/maravilhoso-anel-chuveiro-banhado-a-ouro-1015502830
62,Hoje,00:17,1015502451,Maravilhosa Pulseira de Prata 925,70.0,Rio de Janeiro, Flamengo - DDD 21,22250020,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/maravilhosa-pulseira-de-prata-925-1015502451
63,Hoje,00:14,1015502096,Trio de Anéis Banhados a ouro e zircônias !,75.0,Rio de Janeiro, Flamengo - DDD 21,22250020,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/trio-de-aneis-banhados-a-ouro-e-zirconias-1015502096
64,Hoje,00:11,1015501749,Lindo Anel Banhado a Ouro com Pedras Brasileiras !,70.0,Rio de Janeiro, Flamengo - DDD 21,22250020,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/lindo-anel-banhado-a-ouro-com-pedras-brasileiras-1015501749
65,,,,,,,,,
66,Hoje,00:08,1015501283,Lindos Anéis Abraço !,70.0,Rio de Janeiro, Flamengo - DDD 21,22250020,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/lindos-aneis-abraco-1015501283
67,Hoje,00:05,1015500663,Cordão de ouro 18k mais crucifixo ,3600.0,Rio de Janeiro, Del Castilho - DDD 21,21051071,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/cordao-de-ouro-18k-mais-crucifixo-1015500663
68,Ontem,23:32,977163320,Apple Watch serie 3 42mm,1300.0,Rio de Janeiro, Vila Militar - DDD 21,21615000,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/apple-watch-serie-3-42mm-977163320
69,Ontem,23:28,992644300,Relógio Dourado Aloha,70.0,Rio de Janeiro, Campo Grande - DDD 21,23070221,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/relogio-dourado-aloha-992644300
70,Ontem,23:20,1015495118,Corretor de postura ,80.0,São Pedro da Aldeia, Porto da Aldeia - DDD 22,28940495,https://rj.olx.com.br/norte-do-estado-do-rio/bijouteria-relogios-e-acessorios/corretor-de-postura-1015495118
71,Ontem,23:13,1015494560,Relógios / tênis / correntes / preço de atacado e enviamos para todo Brasil,699.0,Três Rios, Pátio da Estação - DDD 24,25815000,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/bijouteria-relogios-e-acessorios/relogios-tenis-correntes-preco-de-atacado-e-enviamos-para-todo-brasil-1015494560
72,Ontem,23:11,1015494323,Invicta original completo ,900.0,,,28970000,https://rj.olx.com.br/norte-do-estado-do-rio/bijouteria-relogios-e-acessorios/invicta-original-completo-1015494323
73,Ontem,23:10,1015494269,Relógio Caterpilar Original,2200.0,Rio de Janeiro, Recreio dos Bandeirantes - DDD 21,22790710,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/relogio-caterpilar-original-1015494269
74,,,,,,,,,
75,Ontem,23:09,1015494192,Relógio Technos ,600.0,,,28970000,https://rj.olx.com.br/norte-do-estado-do-rio/bijouteria-relogios-e-acessorios/relogio-technos-1015494192
76,Ontem,23:08,1015494178,Cordão  Prata de Bali (indiana),500.0,Magé, Parque do Imperador - DDD 21,25903745,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/cordao-prata-de-bali-indiana-1015494178
77,Ontem,23:03,1015493670,Relógio Casio novo muito pouco usado,200.0,Campos dos Goytacazes, Parque Jóquei Club - DDD 22,28020176,https://rj.olx.com.br/norte-do-estado-do-rio/bijouteria-relogios-e-acessorios/relogio-casio-novo-muito-pouco-usado-1015493670
78,Ontem,23:01,1015493534,Óculos Prada e Gucci original Novo,1.0,Rio de Janeiro, Barra da Tijuca - DDD 21,22640902,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/oculos-prada-e-gucci-original-novo-1015493534
79,Ontem,23:01,1015493496,Citizen Aqualand  J1060 ,1200.0,,,28970000,https://rj.olx.com.br/norte-do-estado-do-rio/bijouteria-relogios-e-acessorios/citizen-aqualand-j1060-1015493496
80,Ontem,22:51,1015492630,Anel de compromisso namoro,20.0,São Pedro da Aldeia, Porto da Aldeia - DDD 22,28940495,https://rj.olx.com.br/norte-do-estado-do-rio/bijouteria-relogios-e-acessorios/anel-de-compromisso-namoro-1015492630
81,,,,,,,,,
82,Ontem,22:50,1015492498,Relógio Orient,480.0,São João de Meriti, Jardim Meriti - DDD 21,25555560,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/relogio-orient-1015492498
83,Ontem,22:49,1015492447,Óculos ,200.0,Niterói, Icaraí - DDD 21,24230030,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/oculos-1015492447
84,Ontem,22:42,652697294,Alianças Boleada Larga e Grossa 12 mm / 20 Gramas,,Volta Redonda, Vila Mury - DDD 24,27281040,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/bijouteria-relogios-e-acessorios/aliancas-boleada-larga-e-grossa-12-mm-20-gramas-652697294
85,Ontem,22:42,639313033,Alianças Para noivado e Casaemento ouro 18 Kilates 4 mm 4.50 gramas,1590.0,,,27570000,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/bijouteria-relogios-e-acessorios/aliancas-para-noivado-e-casaemento-ouro-18-kilates-4-mm-4-50-gramas-639313033
86,Ontem,22:42,656754206,Lançamentos e variedades Ligue 24- *,,,,20000008,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/lancamentos-e-variedades-ligue-24-656754206
87,Ontem,22:42,1015491288,Cinto perolado com stress e fivela dourada,80.0,São Pedro da Aldeia, Porto da Aldeia - DDD 22,28940495,https://rj.olx.com.br/norte-do-estado-do-rio/bijouteria-relogios-e-acessorios/cinto-perolado-com-stress-e-fivela-dourada-1015491288
88,Ontem,22:41,1015491186,Apple Watch Série 7 45 ,2650.0,Rio de Janeiro, Barra da Tijuca - DDD 21,22620170,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/apple-watch-serie-7-45-1015491186
89,,,,,,,,,
90,Ontem,22:38,1015490717,Invicta DNA camuflado ,300.0,Nova Iguaçu, Jardim Palmares - DDD 21,26271134,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/invicta-dna-camuflado-1015490717
91,Ontem,22:37,1015490657,Vendo relógio Orient original ,190.0,Rio de Janeiro, Copacabana - DDD 21,22040041,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/vendo-relogio-orient-original-1015490657
92,Ontem,22:31,1013605499,2 Pingentes Rommanel por R$120,120.0,Rio de Janeiro, Copacabana - DDD 21,22011010,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/2-pingentes-rommanel-por-r-120-1013605499
93,Ontem,22:31,1012724128,Relógio Champion prova d'água Fundo Cinza Ponteiros Amarelos,160.0,Petrópolis, Quitandinha - DDD 24,25650061,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/bijouteria-relogios-e-acessorios/relogio-champion-prova-d-agua-fundo-cinza-ponteiros-amarelos-1012724128
94,Ontem,22:31,993619994, Cabelos,300.0,São Gonçalo, Barro Vermelho - DDD 21,24416050,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/cabelos-993619994
95,Ontem,22:31,1010889961,4 gel de massagem ,50.0,Rio de Janeiro, Paciência - DDD 21,23585169,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/4-gel-de-massagem-1010889961
96,,,,,,,,,
97,Ontem,22:31,1012711823,Relógio Marca Magnum super novo,200.0,Rio de Janeiro, Andaraí - DDD 21,20560031,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/relogio-marca-magnum-super-novo-1012711823
98,Ontem,22:31,995319528,Relógio grande Weide original,65.0,Rio de Janeiro, Bangu - DDD 21,21863429,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/relogio-grande-weide-original-995319528
99,Ontem,22:31,1008148868,Guias de orixas pronta entrega ,50.0,Rio de Janeiro, Quintino Bocaiúva - DDD 21,21311380,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/guias-de-orixas-pronta-entrega-1008148868
100,Ontem,22:31,1012717991,relógio masculino á prova d água ,237.0,Rio de Janeiro, Rio Comprido - DDD 21,20261232,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/relogio-masculino-a-prova-d-agua-1012717991
101,Ontem,22:31,1003998061,Carteira de couro legítimo da Gucci ,600.0,Araruama, Centro (Iguabinha) - DDD 22,28971206,https://rj.olx.com.br/norte-do-estado-do-rio/bijouteria-relogios-e-acessorios/carteira-de-couro-legitimo-da-gucci-1003998061
102,Ontem,22:31,1010821422,ROLEX ,220.0,Rio de Janeiro, Guaratiba - DDD 21,23028630,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/rolex-1010821422
103,Ontem,22:31,1014617847,Máquina de costura industrial ,250.0,São Gonçalo, Porto do Rosa - DDD 21,24470280,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/maquina-de-costura-industrial-1014617847
104,Ontem,22:31,1009333935,Porroes e assentamento de oxoci e yemanja ,100.0,Rio de Janeiro, Campo Grande - DDD 21,23093510,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/porroes-e-assentamento-de-oxoci-e-yemanja-1009333935
105,Ontem,22:31,1009854659,"Óculos feminino luxo, lente polarizada",129.0,Rio de Janeiro, Vila Valqueire - DDD 21,21330300,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/oculos-feminino-luxo-lente-polarizada-1009854659
106,Ontem,22:31,1011842487,RELÓGIO DIGITAL RETRO DOURADO UNISSES COM ALARME EM PROMOÇÃO,60.0,Rio de Janeiro, Parada de Lucas - DDD 21,21010716,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/relogio-digital-retro-dourado-unisses-com-alarme-em-promocao-1011842487
107,Ontem,22:31,993853044,Relógio hello Kitty,30.0,São Gonçalo, Gradim - DDD 21,24430760,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/relogio-hello-kitty-993853044
108,Ontem,22:31,993757396,Pingente tartaruga prata 925,119.0,Rio de Janeiro, Campo Grande - DDD 21,23092080,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/pingente-tartaruga-prata-925-993757396
109,Ontem,22:31,1009179186,Maquina de tatuar lauro paolini Paul Rogers,160.0,Araruama, Boa Perna - DDD 22,28979866,https://rj.olx.com.br/norte-do-estado-do-rio/bijouteria-relogios-e-acessorios/maquina-de-tatuar-lauro-paolini-paul-rogers-1009179186
110,Ontem,22:31,1014690357,Moeda 50 centavos 1994 (rara),950.0,Rio de Janeiro, Padre Miguel - DDD 21,21775430,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/moeda-50-centavos-1994-rara-1014690357
111,Ontem,22:31,1011652026,Relógio TW Steel - Ceo Canteen  Modelo CE1017,550.0,Rio de Janeiro, Barra da Tijuca - DDD 21,22631005,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/relogio-tw-steel-ceo-canteen-modelo-ce1017-1011652026
112,Ontem,22:31,1014690357,Moeda 50 centavos 1994 (rara),950.0,Rio de Janeiro, Padre Miguel - DDD 21,21775430,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/moeda-50-centavos-1994-rara-1014690357
113,Ontem,22:31,1011652026,Relógio TW Steel - Ceo Canteen  Modelo CE1017,550.0,Rio de Janeiro, Barra da Tijuca - DDD 21,22631005,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/relogio-tw-steel-ceo-canteen-modelo-ce1017-1011652026
114,,,,,,,,,
115,Ontem,22:31,1009843879,Óculos original importado polarizado uv400,79.0,Rio de Janeiro, Vila Valqueire - DDD 21,21330300,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/oculos-original-importado-polarizado-uv400-1009843879
116,Ontem,22:31,1014610541,Lindo  relógio Bvlgari zero na caixa,139.0,Rio de Janeiro, Jacarepaguá - DDD 21,22783020,https://rj.olx.com.br/rio-de-janeiro-e-regiao/bijouteria-relogios-e-acessorios/lindo-relogio-bvlgari-zero-na-caixa-1014610541
117,Ontem,22:31,1011816510,Escova alisadora,150.0,São Pedro da Aldeia, Poço Fundo - DDD 22,28940375,https://rj.olx.com.br/norte-do-estado-do-rio/bijouteria-relogios-e-acessorios/escova-alisadora-1011816510
